id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
13,Wilton Ave & Diversey Pkwy,28,35,41.932418,-87.652705,In Service,1,IN_SERVICE,7,Wilton Ave & Diversey Pkwy,,Chicago,60614,2790 N.Wilton Ave,,False,2019-02-01 18:05:18,K3_FULL,13066,True
77,Clinton St & Madison St,5,31,41.882242,-87.641066,In Service,1,IN_SERVICE,25,Clinton St & Madison St,,Chicago,60661,5 N Clinton St,,False,2019-02-01 18:03:10,K3_FULL,13301,True
199,Wabash Ave & Grand Ave,20,31,41.891466,-87.626761,In Service,1,IN_SERVICE,11,Wabash Ave & Grand Ave,,Chicago,60611,,,False,2019-02-01 18:02:43,K3_FULL,13004,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
75,Canal St & Jackson Blvd,11,39,41.877245,-87.639366,In Service,1,IN_SERVICE,27,Canal St & Jackson Blvd,,Chicago,60661,,,False,2019-02-01 18:04:08,K3_FULL,13138,True
113,Bissell St & Armitage Ave,5,15,41.91844,-87.65222,In Service,1,IN_SERVICE,10,Bissell St & Armitage Ave,,Chicago ,60614,,,False,2019-02-01 18:05:50,K3_FULL,13059,True
173,Mies van der Rohe Way & Chicago Ave,1,15,41.89691,-87.621743,In Service,1,IN_SERVICE,14,Mies van der Rohe Way & Chicago Ave,,Chicago ,60611,,,False,2019-02-01 18:05:49,K3_FULL,13338,True
197,Michigan Ave & Madison St,8,19,41.882134,-87.625125,In Service,1,IN_SERVICE,11,Michigan Ave & Madison St,,Chicago,60602,,,False,2019-02-01 18:02:07,K3_FULL,13036,True
349,Halsted St & Wrightwood Ave,14,15,41.929143,-87.649077,In Service,1,IN_SERVICE,1,Halsted St & Wrightwood Ave,,Chicago,60614,,,False,2019-02-01 18:05:48,K3_FULL,13210,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
49,Dearborn St & Monroe St,4,39,41.881319815,-87.6295209193,In Service,1,IN_SERVICE,35,Dearborn St & Monroe St,,Chicago,60603,80 S Dearborn St,,False,2019-02-01 18:03:07,K3_FULL,13049,True
91,Clinton St & Washington Blvd,11,31,41.88338,-87.64117,In Service,1,IN_SERVICE,20,Clinton St & Washington Blvd,,Chicago,60661,109 N Clinton St,,False,2019-02-01 18:06:03,K3_FULL,13010,True
130,Damen Ave & Division St,6,19,41.903266,-87.678435,In Service,1,IN_SERVICE,13,Damen Ave & Division St,,Chicago ,60622,,,False,2019-02-01 18:05:31,K3_FULL,13136,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
26,McClurg Ct & Illinois St,25,31,41.890359,-87.617532,In Service,1,IN_SERVICE,5,McClurg Ct & Illinois St,,Chicago,60611,,,False,2019-02-01 18:04:59,K3_FULL,13051,True
482,Campbell Ave & Montrose Ave,11,15,41.96152593287,-87.6911650414,In Service,1,IN_SERVICE,4,Campbell Ave & Montrose Ave,,Chicago,60625,,,False,2019-02-01 18:02:29,K3_FULL,15623,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
77,Clinton St & Madison St,4,31,41.882242,-87.641066,In Service,1,IN_SERVICE,26,Clinton St & Madison St,,Chicago,60661,5 N Clinton St,,False,2019-02-01 18:07:43,K3_FULL,13301,True
217,Racine Ave (May St) & Fulton St,8,14,41.886926,-87.656919,In Service,1,IN_SERVICE,6,Racine Ave (May St) & Fulton St,,Chicago,60607,,,False,2019-02-01 18:05:21,K3_FULL,13197,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
26,McClurg Ct & Illinois St,24,31,41.890359,-87.617532,In Service,1,IN_SERVICE,6,McClurg Ct & Illinois St,,Chicago,60611,,,False,2019-02-01 18:04:59,K3_FULL,13051,True
91,Clinton St & Washington Blvd,10,31,41.88338,-87.64117,In Service,1,IN_SERVICE,21,Clinton St & Washington Blvd,,Chicago,60661,109 N Clinton St,,False,2019-02-01 18:06:03,K3_FULL,13010,True
133,Kingsbury St & Kinzie St,13,31,41.88917683258,-87.6385057718,In Service,1,IN_SERVICE,17,Kingsbury St & Kinzie St,,Chicago,60654,,,False,2019-02-01 18:05:24,K3_FULL,15532,True
156,Clark St & Wellington Ave,8,15,41.9364968219,-87.6475386582,In Service,1,IN_SERVICE,7,Clark St & Wellington Ave,,Chicago ,60657,,,False,2019-02-01 18:06:07,K3_FULL,13232,True
183,Damen Ave & Thomas St (Augusta Blvd),14,23,41.901315,-87.677409,In Service,1,IN_SERVICE,9,Damen Ave & Thomas St (Augusta Blvd),,Chicago,60622,,,False,2019-02-01 18:04:26,K3_FULL,13142,True
243,Lincoln Ave & Sunnyside Ave,10,15,41.963004,-87.684781,In Service,1,IN_SERVICE,5,Lincoln Ave & Sunnyside Ave,,Chicago ,60625,,,False,2019-02-01 18:08:02,K3_FULL,13126,True
307,Southport Ave & Clybourn Ave,10,15,41.920771,-87.663712,In Service,1,IN_SERVICE,5,Southport Ave & Clybourn Ave,,Chicago,60614,,,False,2019-02-01 18:05:28,K3_FULL,13186,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
91,Clinton St & Washington Blvd,11,31,41.88338,-87.64117,In Service,1,IN_SERVICE,20,Clinton St & Washington Blvd,,Chicago,60661,109 N Clinton St,,False,2019-02-01 18:06:03,K3_FULL,13010,True
116,Western Ave & Winnebago Ave,13,15,41.91552,-87.687022,In Service,1,IN_SERVICE,2,Western Ave & Winnebago Ave,,Chicago,60647,,,False,2019-02-01 18:07:01,K3_FULL,13068,True
286,Franklin St & Quincy St,10,23,41.878724,-87.634793,In Service,1,IN_SERVICE,13,Franklin St & Quincy St,,Chicago,60606,,,False,2019-02-01 18:07:39,K3_FULL,13007,True
414,Canal St & Taylor St,6,15,41.870257,-87.639474,In Service,1,IN_SERVICE,9,Canal St & Taylor St,990 S Canal St,Chicago,60607,,,False,2019-02-01 18:05:55,K3_FULL,15550,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
44,State St & Randolph St,8,27,41.8847302006,-87.6277335692,In Service,1,IN_SERVICE,19,State St & Randolph St,,Chicago,60601,,,False,2019-02-01 18:07:02,K3_FULL,13002,True
116,Western Ave & Winnebago Ave,12,15,41.91552,-87.687022,In Service,1,IN_SERVICE,3,Western Ave & Winnebago Ave,,Chicago,60647,,,False,2019-02-01 18:07:01,K3_FULL,13068,True
302,Sheffield Ave & Wrightwood Ave,9,30,41.928712,-87.653833,In Service,1,IN_SERVICE,21,Sheffield Ave & Wrightwood Ave,,Chicago,60614,,,False,2019-02-01 18:08:01,K3_FULL,13211,True
350,Ashland Ave & Chicago Ave,2,15,41.895966,-87.667747,In Service,1,IN_SERVICE,13,Ashland Ave & Chicago Ave,,Chicago,60622,,,False,2019-02-01 18:05:58,K3_FULL,13247,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
41,Federal St & Polk St,11,19,41.87207763285,-87.6295437729,In Service,1,IN_SERVICE,8,Federal St & Polk St,,Chicago,60605,,,False,2019-02-01 18:09:08,K3_FULL,15543,True
81,Daley Center Plaza,16,39,41.884241,-87.629634,In Service,1,IN_SERVICE,22,Daley Center Plaza,,Chicago,60601,,,False,2019-02-01 18:08:54,K3_FULL,13023,True
192,Canal St & Adams St,2,47,41.879255,-87.639904,In Service,1,IN_SERVICE,45,Canal St & Adams St,,Chicago,60661,,,False,2019-02-01 18:05:36,K3_FULL,13011,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
168,Michigan Ave & 14th St,14,19,41.864059,-87.623727,In Service,1,IN_SERVICE,5,Michigan Ave & 14th St,,Chicago ,60605,,,False,2019-02-01 18:08:04,K3_FULL,13310,True
199,Wabash Ave & Grand Ave,19,31,41.891466,-87.626761,In Service,1,IN_SERVICE,12,Wabash Ave & Grand Ave,,Chicago,60611,,,False,2019-02-01 18:07:14,K3_FULL,13004,True
287,Franklin St & Monroe St,22,27,41.880317,-87.635185,In Service,1,IN_SERVICE,5,Franklin St & Monroe St,,Chicago,60606,,,False,2019-02-01 18:10:31,K3_FULL,13057,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
53,Wells St & Huron St,19,27,41.894722,-87.634362,In Service,1,IN_SERVICE,8,Wells St & Huron St,,Chicago,60654,,,False,2019-02-01 18:09:16,K3_FULL,13064,True
56,Desplaines St & Kinzie St,13,27,41.888716036,-87.6444478533,In Service,1,IN_SERVICE,14,Desplaines St & Kinzie St,,Chicago,60661,368 N. Desplaines St.,,False,2019-02-01 18:10:16,K3_FULL,13039,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
26,McClurg Ct & Illinois St,23,31,41.890359,-87.617532,In Service,1,IN_SERVICE,7,McClurg Ct & Illinois St,,Chicago,60611,,,False,2019-02-01 18:09:23,K3_FULL,13051,True
69,Damen Ave & Pierce Ave,16,23,41.9093960065,-87.6776919292,In Service,1,IN_SERVICE,5,Damen Ave & Pierce Ave,,Chicago,60622,2002 W Pierce Ave,,False,2019-02-01 18:07:51,K3_FULL,13065,True
81,Daley Center Plaza,15,39,41.884241,-87.629634,In Service,1,IN_SERVICE,23,Daley Center Plaza,,Chicago,60601,,,False,2019-02-01 18:08:54,K3_FULL,13023,True
98,LaSalle St & Washington St,11,15,41.882664,-87.63253,In Service,1,IN_SERVICE,3,LaSalle St & Washington St,,Chicago,60602,,,False,2019-02-01 18:08:49,K3_FULL,13006,True
112,Green St & Randolph St,5,15,41.883668,-87.64867,In Service,1,IN_SERVICE,10,Green St & Randolph St,,Chicago ,60607,,,False,2019-02-01 18:08:08,K3_FULL,13053,True
134,Peoria St & Jackson Blvd,6,19,41.877749,-87.649633,In Service,1,IN_SERVICE,13,Peoria St & Jackson Blvd,,Chicago,60607,,,False,2019-02-01 18:11:06,K3_FULL,13158,True
283,LaSalle St & Jackson Blvd,25,35,41.878166,-87.631929,In Service,1,IN_SERVICE,10,LaSalle St & Jackson Blvd,,Chicago,60604,,,False,2019-02-01 18:09:14,K3_FULL,13032,True
338,Calumet Ave & 18th St,14,15,41.857611,-87.619407,In Service,1,IN_SERVICE,1,Calumet Ave & 18th St,,Chicago,60616,,,False,2019-02-01 18:09:17,K3_FULL,13102,True
id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,status,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,kioskType,landMark,is_renting
98,LaSalle St & Washington St,10,15,41.882664,-87.63253,In Service,1,IN_SERVICE,4,LaSalle St & Washington St,,Chicago,60602,,,False,2019-02-01 18:08:49,K3_FULL,13006,True
140,Dearborn Pkwy & Delaware Pl,10,19,41.898969,-87.629912,In Service,1,IN_SERVICE,9,Dearborn Pkwy & Delaware Pl,,Chicago ,60610,,,False,2019-02-01 18:12:02,K3_FULL,13173,True
198,Green St & Madison St,10,27,41.881892,-87.648789,In Service,1,IN_SERVICE,16,Green St & Madison St,,Chicago,60661,,,False,2019-02-01 18:10:04,K3_FULL,13159,True
